_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,hiddeninput,not_possible_expl,possible_expl,selectedtags_desc,tagged_events,all_possible_pgsm_events,all_possible_pgsm_times,all_possible_psm_events,all_possible_psm_times,all_runs_events,all_runs_times,doc_id,events,hiddeninput_gold,lemmas,lowercase_sentence,not_possible_expl_gold,number_all_runs_events,number_all_runs_times,number_possible_pgsm_events,number_possible_pgsm_times,number_possible_psm_events,number_possible_psm_times,pos_tags,possible_expl_gold,selectedtags_desc_gold,sentence,sentence_id,stanford_lemma,stanford_lower_lemma,stanford_pos_tag,tagged_events_gold,time_expressions,tokens
2052545544,12/16/2018 22:03:59,4344115764,12/16/2018 22:03:38,false,elite,1,32173500,GBR,E4,Chelmsford,151.228.105.15,,[NO_ANSWER],the other words are not expressions of time,"[""12 and 18 months__58__74""]","[""between"",""12"",""and"",""18"",""months""]",expects__3__10###take__45__49###complete__78__86###share__15__20,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,3,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,3,4,4,4,3,4,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,,2,16
2052545544,12/16/2018 22:23:52,4344144049,12/16/2018 22:23:24,false,elite,1,44369755,USA,TX,Dallas,198.96.95.145,,[NO_ANSWER],is not explicitly or implicitly,"[""12 and 18 months__58__74""]",[],expects__3__10###take__45__49###complete__78__86###share__15__20,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,3,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,3,4,4,4,3,4,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,,2,16
2052545544,12/16/2018 22:37:52,4344162007,12/16/2018 22:37:05,false,elite,1,39017656,CAN,BC,Kelowna,24.71.170.141,,[NO_ANSWER],No other time related expressions are stated in the text.,"[""18 months__65__74"",""12 and 18 months__58__74"",""12__58__60""]",[],expects__3__10###take__45__49###complete__78__86###share__15__20,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,3,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,3,4,4,4,3,4,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,,2,16
2052545544,12/16/2018 22:40:47,4344165960,12/16/2018 22:37:21,false,prodege,1,11131207,CAN,ON,Toronto,99.232.135.2,,[NO_ANSWER],no other words that describe time,"[""18 months__65__74"",""12 and 18 months__58__74""]",[],expects__3__10###take__45__49###complete__78__86###share__15__20,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,3,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,3,4,4,4,3,4,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,,2,16
2052545544,12/16/2018 23:00:16,4344189595,12/16/2018 22:59:51,false,gifthunterclub,1,44369730,USA,IL,Aurora,68.235.38.49,,[NO_ANSWER],is not explicitly or implicitly,"[""18 months__65__74"",""12 and 18 months__58__74""]",[],expects__3__10###take__45__49###complete__78__86###share__15__20,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,3,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,3,4,4,4,3,4,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,,2,16
2052545544,12/17/2018 01:17:59,4344376998,12/17/2018 01:17:51,false,instagc,1,22431902,GBR,G6,Hull,5.198.34.32,,[NO_ANSWER],none there,"[""12 and 18 months__58__74""]",[],expects__3__10###take__45__49###complete__78__86###share__15__20,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,3,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,3,4,4,4,3,4,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,,2,16
2052545544,12/17/2018 01:22:27,4344382786,12/17/2018 01:21:21,false,elite,1,43912578,USA,FL,Miami,173.44.36.162,,[NO_ANSWER],the other words do not appear in the text neither implicitly nor explicitly,"[""18 months__65__74""]",[],expects__3__10###take__45__49###complete__78__86###share__15__20,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,3,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,3,4,4,4,3,4,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,,2,16
2052545544,12/17/2018 02:18:20,4344459427,12/17/2018 02:17:52,false,elite,1,43887010,USA,FL,Miami,38.132.120.77,,[NO_ANSWER],the other words do not appear in the text neither implicitly nor explicitly,"[""18 months__65__74""]",[],expects__3__10###take__45__49###complete__78__86###share__15__20,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,3,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,3,4,4,4,3,4,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,,2,16
2052545544,12/17/2018 04:52:49,4344683020,12/17/2018 04:52:35,false,coinworker,1,41920197,USA,NY,Buffalo,192.3.224.227,,[NO_ANSWER],,"[""12 and 18 months__58__74""]",[],expects__3__10###take__45__49###complete__78__86###share__15__20,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,3,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,3,4,4,4,3,4,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,,2,16
2052545544,12/17/2018 04:56:03,4344687228,12/17/2018 04:55:34,false,instagc,1,29289135,CAN,QC,Brossard,174.91.245.214,,[NO_ANSWER],The highlighted text is the most accurate answer,"[""12 and 18 months__58__74""]",[],expects__3__10###take__45__49###complete__78__86###share__15__20,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,expects__3__10###take__45__49###complete__78__86,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,3,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,3,4,4,4,3,4,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,,2,16
