_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,hiddeninput,notpossible,possible,selectedtags_desc,all_runs_events,all_runs_times,all_runs_total_events,best_runs_events,best_runs_total_events,doc_id,events,gold_total_events,hiddeninput_gold,lemmas,lowercase_sentence,notpossible_gold,pos_tags,possible_gold,selectedtags_desc_gold,sentence,sentence_id,stanford_lemma,stanford_lower_lemma,stanford_pos_tag,time_expressions,tokens
2031005334,12/1/2018 20:51:52,4298055967,12/1/2018 20:51:35,False,wannads,1,017bbee01ff77eadfca65e4067b36da3,GBR,I9,Norwich,3f54149fabd9f47ea8a3f010feca13ad,,,Because no other words are related to time,"[""18 months__65__74"",""12 and 18 months__58__74"",""12__58__60""]",,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,,,,bbc_20130322_332,3,,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,2,16
2031005334,12/1/2018 21:11:19,4298084245,12/1/2018 21:10:51,False,fusioncash,1,0d9bdc31b5837ca4dbf0a99ba7add9b5,USA,NV,Las Vegas,176c0b0b441f64bc70cf7f23107c41ed,,,there is no other time,"[""12 and 18 months__58__74""]",,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,,,,bbc_20130322_332,3,,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,2,16
2031005334,12/1/2018 21:51:48,4298126734,12/1/2018 21:51:32,False,coinworker,1,7e99298fec7b173dab7013e1543c4eb5,USA,WA,Renton,f1cfc1977456e7d653a6356086e02336,,,No other applicable options.,"[""18 months__65__74"",""12 and 18 months__58__74"",""12__58__60""]",,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,,,,bbc_20130322_332,3,,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,2,16
2031005334,12/1/2018 22:36:32,4298178228,12/1/2018 22:36:03,False,gifthunterclub,1,bbb91c02ad5bb513c8149bd5e8443fb4,USA,IL,Aurora,1ece7ef4838ee8b684b2112d5d99ad65,,,because it is not implicitly or explicitly,"[""18 months__65__74"",""12__58__60""]",,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,,,,bbc_20130322_332,3,,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,2,16
2031005334,12/1/2018 22:55:44,4298201881,12/1/2018 22:55:31,False,instagc,1,8355ff470b1ea18db562b61fa0a306a2,GBR,M3,Bridgwater,55c6f886832a79971fd3ebc10ecb4a9e,,,no other words or phrases are expressions of time,"[""18 months__65__74"",""12 and 18 months__58__74"",""12__58__60"",""and__61__64""]",,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,,,,bbc_20130322_332,3,,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,2,16
2031005334,12/2/2018 00:16:40,4298282380,12/2/2018 00:16:10,False,elite,1,19d1cf4672a44a2b873901990979111a,USA,TX,Dallas,d03dde2eba1cb8faed31ac70aa7de98d,,,is not explicitly or implicitly,"[""12 and 18 months__58__74"",""and__61__64""]",,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,,,,bbc_20130322_332,3,,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,2,16
2031005334,12/2/2018 01:06:31,4298336385,12/2/2018 01:03:22,False,instagc,1,8d2c1b1e71575f97daec7742b3dc915a,USA,,,a89772320db250dec70c97f32072ee52,,,No more options,"[""18 months__65__74"",""12 and 18 months__58__74""]",,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,,,,bbc_20130322_332,3,,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,2,16
2031005334,12/2/2018 01:21:54,4298356755,12/2/2018 01:21:39,False,elite,1,5b054a4b4839d34b10d3956ebd056597,USA,FL,Miami,c2f7048bf3a80a9672a01768000e6d04,,the other words do not appear in the text neither implicitly nor explicitly,,"[""no_time""]",,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,,,,bbc_20130322_332,3,,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,2,16
2031005334,12/2/2018 01:24:53,4298359763,12/2/2018 01:24:35,False,elite,1,918abbecb87a38ab30695e5c966a46f1,USA,GA,Atlanta,6032031e51310712e450beee5cd2eb71,,,because it is written implicitly,"[""18 months__65__74""]",,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,,,,bbc_20130322_332,3,,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,2,16
2031005334,12/2/2018 01:46:55,4298380704,12/2/2018 01:46:42,False,elite,1,2a37e935e9b4faac462a267762144ea9,USA,GA,Atlanta,d319922123b0dc8a6c29721cbcaae07c,,,because it is written implicitly,"[""18 months__65__74""]",,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,,,,bbc_20130322_332,3,,,16,bp expects the share buyback programme could take between 12 and 18 months to complete .,,16,,,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,bp expect the share buyback programme could take between 12 and 18 month to complete .,bp expect the share buyback programme could take between 12 and 18 month to complete .,NN VBZ DT NN NN NN MD VB IN CD CC CD NNS TO VB .,2,16
