duration,input.all_possible_pgsm_times,input.doc_id,input.lowercase_sentence,input.sentence,input.sentence_id,input.time_expressions,job,output.selectedtags_desc,output.selectedtags_desc.annotations,output.selectedtags_desc.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,validated_time,no_of_annotations,validated_time_final_score,validated_time_initial_score,Experts
18.95,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'12 and 18 months__58__74': 18, '18 months__65__74': 11, '12__58__60': 5, 'and__61__64': 3})",37,4,20,0.6741068248367748,"Counter({'12 and 18 months__58__74': 0.9152648156727419, '18 months__65__74': 0.5739372002161475, '12__58__60': 0.2681284467601517, 'and__61__64': 0.15682184472299418})",0.6607976718407338,"Counter({'12 and 18 months__58__74': 0.9, '18 months__65__74': 0.55, '12__58__60': 0.25, 'and__61__64': 0.15})",18 months__65__74,11,0.5739372002161475,0.55,1.0
18.95,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'12 and 18 months__58__74': 18, '18 months__65__74': 11, '12__58__60': 5, 'and__61__64': 3})",37,4,20,0.6741068248367748,"Counter({'12 and 18 months__58__74': 0.9152648156727419, '18 months__65__74': 0.5739372002161475, '12__58__60': 0.2681284467601517, 'and__61__64': 0.15682184472299418})",0.6607976718407338,"Counter({'12 and 18 months__58__74': 0.9, '18 months__65__74': 0.55, '12__58__60': 0.25, 'and__61__64': 0.15})",12 and 18 months__58__74,18,0.915264815672742,0.9,0.0
18.95,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'12 and 18 months__58__74': 18, '18 months__65__74': 11, '12__58__60': 5, 'and__61__64': 3})",37,4,20,0.6741068248367748,"Counter({'12 and 18 months__58__74': 0.9152648156727419, '18 months__65__74': 0.5739372002161475, '12__58__60': 0.2681284467601517, 'and__61__64': 0.15682184472299418})",0.6607976718407338,"Counter({'12 and 18 months__58__74': 0.9, '18 months__65__74': 0.55, '12__58__60': 0.25, 'and__61__64': 0.15})",12__58__60,5,0.2681284467601517,0.25,1.0
18.95,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'12 and 18 months__58__74': 18, '18 months__65__74': 11, '12__58__60': 5, 'and__61__64': 3})",37,4,20,0.6741068248367748,"Counter({'12 and 18 months__58__74': 0.9152648156727419, '18 months__65__74': 0.5739372002161475, '12__58__60': 0.2681284467601517, 'and__61__64': 0.15682184472299418})",0.6607976718407338,"Counter({'12 and 18 months__58__74': 0.9, '18 months__65__74': 0.55, '12__58__60': 0.25, 'and__61__64': 0.15})",and__61__64,3,0.15682184472299418,0.15,0.0
18.95,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'12 and 18 months__58__74': 18, '18 months__65__74': 11, '12__58__60': 5, 'and__61__64': 3})",37,4,20,0.6741068248367748,"Counter({'12 and 18 months__58__74': 0.9152648156727419, '18 months__65__74': 0.5739372002161475, '12__58__60': 0.2681284467601517, 'and__61__64': 0.15682184472299418})",0.6607976718407338,"Counter({'12 and 18 months__58__74': 0.9, '18 months__65__74': 0.55, '12__58__60': 0.25, 'and__61__64': 0.15})",no_time,0,0.0,0.0,0.0
21.4,1953__113__117,bbc_20130322_1150,new zealand-born mr lowe was part of the team that helped sir edmund hillary and tenzing norgay to the summit in 1953 .,New Zealand-born Mr Lowe was part of the team that helped Sir Edmund Hillary and Tenzing Norgay to the summit in 1953 .,2,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,Counter({'1953__113__117': 20}),20,1,20,1.0,Counter({'1953__113__117': 1.0}),1.0,Counter({'1953__113__117': 1.0}),1953__113__117,20,1.0,1.0,1.0
21.4,1953__113__117,bbc_20130322_1150,new zealand-born mr lowe was part of the team that helped sir edmund hillary and tenzing norgay to the summit in 1953 .,New Zealand-born Mr Lowe was part of the team that helped Sir Edmund Hillary and Tenzing Norgay to the summit in 1953 .,2,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,Counter({'1953__113__117': 20}),20,1,20,1.0,Counter({'1953__113__117': 1.0}),1.0,Counter({'1953__113__117': 1.0}),no_time,0,0.0,0.0,0.0
25.2,1953__71__75,bbc_20130322_1150,the last surviving member of the team which first conquered everest in 1953 has died in a derbyshire nursing home .,The last surviving member of the team which first conquered Everest in 1953 has died in a Derbyshire nursing home .,0,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,Counter({'1953__71__75': 20}),20,1,20,1.0,Counter({'1953__71__75': 1.0}),1.0,Counter({'1953__71__75': 1.0}),1953__71__75,20,1.0,1.0,1.0
25.2,1953__71__75,bbc_20130322_1150,the last surviving member of the team which first conquered everest in 1953 has died in a derbyshire nursing home .,The last surviving member of the team which first conquered Everest in 1953 has died in a Derbyshire nursing home .,0,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,Counter({'1953__71__75': 20}),20,1,20,1.0,Counter({'1953__71__75': 1.0}),1.0,Counter({'1953__71__75': 1.0}),no_time,0,0.0,0.0,0.0
19.6,1957 - 58__60__69###1957__60__64###58__67__69,bbc_20130322_1150,"mr lowe also took part in the trans-antarctic expedition of 1957 - 58 , which made the first successful overland crossing of antarctica via the south pole .","Mr Lowe also took part in the trans-Antarctic expedition of 1957 - 58 , which made the first successful overland crossing of Antarctica via the South Pole .",4,2,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'1957 - 58__60__69': 17, '1957__60__64': 11, '58__67__69': 6})",34,3,20,0.6620322848552656,"Counter({'1957 - 58__60__69': 0.856011329913159, '1957__60__64': 0.5769426591926768, '58__67__69': 0.32422791994906675})",0.6543838619237524,"Counter({'1957 - 58__60__69': 0.85, '1957__60__64': 0.55, '58__67__69': 0.3})",1957 - 58__60__69,17,0.856011329913159,0.85,0.0
19.6,1957 - 58__60__69###1957__60__64###58__67__69,bbc_20130322_1150,"mr lowe also took part in the trans-antarctic expedition of 1957 - 58 , which made the first successful overland crossing of antarctica via the south pole .","Mr Lowe also took part in the trans-Antarctic expedition of 1957 - 58 , which made the first successful overland crossing of Antarctica via the South Pole .",4,2,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'1957 - 58__60__69': 17, '1957__60__64': 11, '58__67__69': 6})",34,3,20,0.6620322848552656,"Counter({'1957 - 58__60__69': 0.856011329913159, '1957__60__64': 0.5769426591926768, '58__67__69': 0.32422791994906675})",0.6543838619237524,"Counter({'1957 - 58__60__69': 0.85, '1957__60__64': 0.55, '58__67__69': 0.3})",1957__60__64,11,0.5769426591926768,0.55,1.0
19.6,1957 - 58__60__69###1957__60__64###58__67__69,bbc_20130322_1150,"mr lowe also took part in the trans-antarctic expedition of 1957 - 58 , which made the first successful overland crossing of antarctica via the south pole .","Mr Lowe also took part in the trans-Antarctic expedition of 1957 - 58 , which made the first successful overland crossing of Antarctica via the South Pole .",4,2,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'1957 - 58__60__69': 17, '1957__60__64': 11, '58__67__69': 6})",34,3,20,0.6620322848552656,"Counter({'1957 - 58__60__69': 0.856011329913159, '1957__60__64': 0.5769426591926768, '58__67__69': 0.32422791994906675})",0.6543838619237524,"Counter({'1957 - 58__60__69': 0.85, '1957__60__64': 0.55, '58__67__69': 0.3})",58__67__69,6,0.32422791994906675,0.3,1.0
19.6,1957 - 58__60__69###1957__60__64###58__67__69,bbc_20130322_1150,"mr lowe also took part in the trans-antarctic expedition of 1957 - 58 , which made the first successful overland crossing of antarctica via the south pole .","Mr Lowe also took part in the trans-Antarctic expedition of 1957 - 58 , which made the first successful overland crossing of Antarctica via the South Pole .",4,2,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'1957 - 58__60__69': 17, '1957__60__64': 11, '58__67__69': 6})",34,3,20,0.6620322848552656,"Counter({'1957 - 58__60__69': 0.856011329913159, '1957__60__64': 0.5769426591926768, '58__67__69': 0.32422791994906675})",0.6543838619237524,"Counter({'1957 - 58__60__69': 0.85, '1957__60__64': 0.55, '58__67__69': 0.3})",no_time,0,0.0,0.0,0.0
25.0,1984__19__23###last June__75__84###1953__40__44###June__80__84,bbc_20130322_1150,"the last british climbing member of the 1953 team , mike westmacott , died last june .","The last British climbing member of the 1953 team , Mike Westmacott , died last June .",19,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'last june__75__84': 19, '1953__40__44': 15, 'june__80__84': 12, '1984__19__23': 6})",52,4,20,0.7340819438669238,"Counter({'last june__75__84': 0.948773727004102, '1953__40__44': 0.7758291586453783, 'june__80__84': 0.6154282023332286, '1984__19__23': 0.30183757021463764})",0.7262205728222372,"Counter({'last june__75__84': 0.95, '1953__40__44': 0.75, 'june__80__84': 0.6, '1984__19__23': 0.3})",1984__19__23,6,0.30183757021463764,0.3,0.0
25.0,1984__19__23###last June__75__84###1953__40__44###June__80__84,bbc_20130322_1150,"the last british climbing member of the 1953 team , mike westmacott , died last june .","The last British climbing member of the 1953 team , Mike Westmacott , died last June .",19,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'last june__75__84': 19, '1953__40__44': 15, 'june__80__84': 12, '1984__19__23': 6})",52,4,20,0.7340819438669238,"Counter({'last june__75__84': 0.948773727004102, '1953__40__44': 0.7758291586453783, 'june__80__84': 0.6154282023332286, '1984__19__23': 0.30183757021463764})",0.7262205728222372,"Counter({'last june__75__84': 0.95, '1953__40__44': 0.75, 'june__80__84': 0.6, '1984__19__23': 0.3})",last june__75__84,19,0.948773727004102,0.95,1.0
