tp,tn,fp,fn,p,r,a,f1
143,234,58,22,0.7114427860696517,0.8666666666666667,0.824945295404814,0.7814207650273224
150,233,59,15,0.7177033492822966,0.9090909090909091,0.838074398249453,0.8021390374331551
153,224,68,12,0.6923076923076923,0.9272727272727272,0.824945295404814,0.7927461139896373
149,224,68,16,0.6866359447004609,0.9030303030303031,0.8161925601750547,0.7801047120418848
151,230,62,14,0.7089201877934272,0.9151515151515152,0.8336980306345733,0.798941798941799
153,227,65,12,0.7018348623853211,0.9272727272727272,0.8315098468271335,0.7989556135770235
153,237,55,12,0.7355769230769231,0.9272727272727272,0.8533916849015317,0.8203753351206435
148,224,68,17,0.6851851851851852,0.896969696969697,0.8140043763676149,0.7769028871391077
148,229,63,17,0.7014218009478673,0.896969696969697,0.824945295404814,0.7872340425531914
148,238,54,17,0.7326732673267327,0.896969696969697,0.8446389496717724,0.8065395095367847
150,233,59,15,0.7177033492822966,0.9090909090909091,0.838074398249453,0.8021390374331551
154,228,64,11,0.7064220183486238,0.9333333333333333,0.8358862144420132,0.8041775456919059
150,231,61,15,0.7109004739336493,0.9090909090909091,0.8336980306345733,0.7978723404255318
149,228,64,16,0.6995305164319249,0.9030303030303031,0.824945295404814,0.7883597883597884
146,226,66,19,0.6886792452830188,0.8848484848484849,0.8140043763676149,0.7745358090185677
151,236,56,14,0.7294685990338164,0.9151515151515152,0.8468271334792122,0.8118279569892474
149,240,52,16,0.7412935323383084,0.9030303030303031,0.8512035010940919,0.8142076502732241
149,229,63,16,0.7028301886792453,0.9030303030303031,0.8271334792122538,0.7904509283819628
142,230,62,23,0.696078431372549,0.8606060606060606,0.8140043763676149,0.7696476964769647
158,232,60,7,0.7247706422018348,0.9575757575757575,0.8533916849015317,0.825065274151436
146,237,55,19,0.7263681592039801,0.8848484848484849,0.838074398249453,0.7978142076502733
151,226,66,14,0.695852534562212,0.9151515151515152,0.824945295404814,0.7905759162303664
152,241,51,13,0.7487684729064039,0.9212121212121213,0.8599562363238512,0.826086956521739
153,225,67,12,0.6954545454545454,0.9272727272727272,0.8271334792122538,0.7948051948051948
153,234,58,12,0.7251184834123223,0.9272727272727272,0.8468271334792122,0.8138297872340425
153,232,60,12,0.7183098591549296,0.9272727272727272,0.8424507658643327,0.8095238095238096
153,235,57,12,0.7285714285714285,0.9272727272727272,0.849015317286652,0.8159999999999998
148,236,56,17,0.7254901960784313,0.896969696969697,0.8402625820568927,0.8021680216802167
149,230,62,16,0.7061611374407583,0.9030303030303031,0.8293216630196937,0.7925531914893617
151,230,62,14,0.7089201877934272,0.9151515151515152,0.8336980306345733,0.798941798941799
150,235,57,15,0.7246376811594203,0.9090909090909091,0.8424507658643327,0.8064516129032259
150,233,59,15,0.7177033492822966,0.9090909090909091,0.838074398249453,0.8021390374331551
150,229,63,15,0.704225352112676,0.9090909090909091,0.8293216630196937,0.7936507936507936
151,232,60,14,0.7156398104265402,0.9151515151515152,0.838074398249453,0.803191489361702
151,227,65,14,0.6990740740740741,0.9151515151515152,0.8271334792122538,0.7926509186351707
156,222,70,9,0.6902654867256637,0.9454545454545454,0.8271334792122538,0.7979539641943734
150,238,54,15,0.7352941176470589,0.9090909090909091,0.849015317286652,0.8130081300813008
149,225,67,16,0.6898148148148148,0.9030303030303031,0.8183807439824945,0.7821522309711286
142,235,57,23,0.7135678391959799,0.8606060606060606,0.824945295404814,0.7802197802197802
154,236,56,11,0.7333333333333333,0.9333333333333333,0.8533916849015317,0.8213333333333334
149,234,58,16,0.7198067632850241,0.9030303030303031,0.838074398249453,0.8010752688172044
152,234,58,13,0.7238095238095238,0.9212121212121213,0.8446389496717724,0.8106666666666666
148,228,64,17,0.6981132075471698,0.896969696969697,0.8227571115973742,0.7851458885941645
148,239,53,17,0.736318407960199,0.896969696969697,0.8468271334792122,0.8087431693989071
149,231,61,16,0.7095238095238096,0.9030303030303031,0.8315098468271335,0.7946666666666667
154,231,61,11,0.7162790697674418,0.9333333333333333,0.8424507658643327,0.8105263157894737
148,243,49,17,0.751269035532995,0.896969696969697,0.8555798687089715,0.8176795580110497
146,238,54,19,0.73,0.8848484848484849,0.8402625820568927,0.8
150,234,58,15,0.7211538461538461,0.9090909090909091,0.8402625820568927,0.8042895442359248
145,232,60,20,0.7073170731707317,0.8787878787878788,0.824945295404814,0.7837837837837839
151,231,61,14,0.7122641509433962,0.9151515151515152,0.8358862144420132,0.8010610079575597
149,235,57,16,0.7233009708737864,0.9030303030303031,0.8402625820568927,0.8032345013477089
154,237,55,11,0.7368421052631579,0.9333333333333333,0.8555798687089715,0.8235294117647058
149,232,60,16,0.7129186602870813,0.9030303030303031,0.8336980306345733,0.7967914438502673
147,233,59,18,0.7135922330097088,0.8909090909090909,0.8315098468271335,0.7924528301886792
