tp,tn,fp,fn,p,r,a,f1
43,93,14,15,0.7543859649122807,0.7413793103448276,0.8242424242424242,0.7478260869565219
41,93,14,17,0.7454545454545455,0.7068965517241379,0.8121212121212121,0.7256637168141592
40,97,10,18,0.8,0.6896551724137931,0.8303030303030303,0.7407407407407408
44,96,11,14,0.8,0.7586206896551724,0.8484848484848485,0.7787610619469026
42,95,12,16,0.7777777777777778,0.7241379310344828,0.8303030303030303,0.75
42,93,14,16,0.75,0.7241379310344828,0.8181818181818182,0.736842105263158
41,96,11,17,0.7884615384615384,0.7068965517241379,0.8303030303030303,0.7454545454545455
45,94,13,13,0.7758620689655172,0.7758620689655172,0.8424242424242424,0.7758620689655173
45,96,11,13,0.8035714285714286,0.7758620689655172,0.8545454545454545,0.7894736842105263
42,95,12,16,0.7777777777777778,0.7241379310344828,0.8303030303030303,0.75
42,95,12,16,0.7777777777777778,0.7241379310344828,0.8303030303030303,0.75
43,92,15,15,0.7413793103448276,0.7413793103448276,0.8181818181818182,0.7413793103448276
42,92,15,16,0.7368421052631579,0.7241379310344828,0.8121212121212121,0.7304347826086957
42,92,15,16,0.7368421052631579,0.7241379310344828,0.8121212121212121,0.7304347826086957
41,98,9,17,0.82,0.7068965517241379,0.8424242424242424,0.7592592592592593
42,99,8,16,0.84,0.7241379310344828,0.8545454545454545,0.7777777777777777
39,95,12,19,0.7647058823529411,0.6724137931034483,0.8121212121212121,0.7155963302752292
43,99,8,15,0.8431372549019608,0.7413793103448276,0.8606060606060606,0.7889908256880734
44,95,12,14,0.7857142857142857,0.7586206896551724,0.8424242424242424,0.7719298245614034
41,94,13,17,0.7592592592592593,0.7068965517241379,0.8181818181818182,0.7321428571428572
44,96,11,14,0.8,0.7586206896551724,0.8484848484848485,0.7787610619469026
43,94,13,15,0.7678571428571429,0.7413793103448276,0.8303030303030303,0.7543859649122806
43,94,13,15,0.7678571428571429,0.7413793103448276,0.8303030303030303,0.7543859649122806
42,99,8,16,0.84,0.7241379310344828,0.8545454545454545,0.7777777777777777
45,94,13,13,0.7758620689655172,0.7758620689655172,0.8424242424242424,0.7758620689655173
43,96,11,15,0.7962962962962963,0.7413793103448276,0.8424242424242424,0.7678571428571429
46,96,11,12,0.8070175438596491,0.7931034482758621,0.8606060606060606,0.8
44,96,11,14,0.8,0.7586206896551724,0.8484848484848485,0.7787610619469026
41,95,12,17,0.7735849056603774,0.7068965517241379,0.8242424242424242,0.7387387387387387
42,95,12,16,0.7777777777777778,0.7241379310344828,0.8303030303030303,0.75
41,95,12,17,0.7735849056603774,0.7068965517241379,0.8242424242424242,0.7387387387387387
45,98,9,13,0.8333333333333334,0.7758620689655172,0.8666666666666667,0.8035714285714286
43,93,14,15,0.7543859649122807,0.7413793103448276,0.8242424242424242,0.7478260869565219
46,87,20,12,0.696969696969697,0.7931034482758621,0.806060606060606,0.7419354838709677
42,94,13,16,0.7636363636363637,0.7241379310344828,0.8242424242424242,0.7433628318584072
43,91,16,15,0.7288135593220338,0.7413793103448276,0.8121212121212121,0.735042735042735
42,95,12,16,0.7777777777777778,0.7241379310344828,0.8303030303030303,0.75
44,93,14,14,0.7586206896551724,0.7586206896551724,0.8303030303030303,0.7586206896551724
43,97,10,15,0.8113207547169812,0.7413793103448276,0.8484848484848485,0.7747747747747747
42,95,12,16,0.7777777777777778,0.7241379310344828,0.8303030303030303,0.75
40,97,10,18,0.8,0.6896551724137931,0.8303030303030303,0.7407407407407408
42,97,10,16,0.8076923076923077,0.7241379310344828,0.8424242424242424,0.7636363636363636
43,96,11,15,0.7962962962962963,0.7413793103448276,0.8424242424242424,0.7678571428571429
44,97,10,14,0.8148148148148148,0.7586206896551724,0.8545454545454545,0.7857142857142857
45,93,14,13,0.7627118644067796,0.7758620689655172,0.8363636363636363,0.7692307692307694
47,94,13,11,0.7833333333333333,0.8103448275862069,0.8545454545454545,0.7966101694915254
44,95,12,14,0.7857142857142857,0.7586206896551724,0.8424242424242424,0.7719298245614034
