Doc Id,Sentence Id,Time Expression Id,End Offset,Is Time Expression,Lemma Stanford,Lowercase Lemma Stanford,Lowercase Token,POS Tag Stanford,Pos,Start Offset,Time Expression Id.1,Time Expression Type,Time Expression Value,Token,Token Id Doc,Token Id Sent,Token POS,Lemma POS
AP_20130322,1,t1,32,1,a month,a month,a month,DT NN,DT NN,25,t1,B-DURATION,P1M,a month,26 27,5 6,a-DT month-NN,a-DT month-NN
AP_20130322,1,t2,112,1,a decade,a decade,a decade,DT NN,DT NN,104,t2,B-DURATION,P10Y,a decade,41 42,20 21,a-DT decade-NN,a-DT decade-NN
AP_20130322,3,t3,58,1,the last week,the last week,the last week,DT JJ NN,DT JJ NN,45,t3,B-DATE,2013-W11,the last week,78 79 80,9 10 11,the-DT last-JJ week-NN,the-DT last-JJ week-NN
AP_20130322,3,t4,146,1,Friday,friday,friday,NNP,NN,140,t4,B-DATE,2013-03-22,Friday,99,30,friday-NN,friday-NN
AP_20130322,5,t5,48,1,2009,2009,2009,CD,CD,44,t5,B-DATE,2009,2009,119,9,2009-CD,2009-CD
AP_20130322,5,t6,55,1,2010,2010,2010,CD,CD,51,t6,B-DATE,2010,2010,121,11,2010-CD,2010-CD
AP_20130322,6,t8,98,1,each season,each season,each season,DT NN,DT NN,87,t8,B-SET,XXXX-WI,each season,143 144,16 17,each-DT season-NN,each-DT season-NN
AP_20130322,8,t9,9,1,this year,this year,this year,DT NN,DT NN,0,t9,B-DATE,XXXX-WI,This year,187 188,1 2,this-DT year-NN,this-DT year-NN
AP_20130322,12,t10,110,1,the past several month,the past several month,the past several months,DT JJ JJ NNS,DT JJ JJ NN,87,t10,B-DURATION,PXM,the past several months,273 274 275 276,16 17 18 19,the-DT past-JJ several-JJ months-NN,the-DT past-JJ several-JJ month-NN
AP_20130322,13,t11,65,1,recent season,recent season,recent season,JJ NN,JJ NN,52,t11,B-SET,XXXX-WI,recent season,288 289,11 12,recent-JJ season-NN,recent-JJ season-NN
AP_20130322,14,t12,41,1,early December,early december,early december,JJ NNP,JJ NN,27,t12,B-DATE,2012-12,early December,296 297,6 7,early-JJ december-NN,early-JJ december-NN
AP_20130322,14,t13,51,1,a month,a month,a month,DT NN,DT NN,44,t13,B-DURATION,P1M,a month,299 300,9 10,a-DT month-NN,a-DT month-NN
AP_20130322,14,t14,102,1,the end of year,the end of year,the end of year,DT NN IN NN,DT NN IN NN,87,t14,B-DATE,2012,the end of year,308 309 310 311,18 19 20 21,the-DT end-NN of-IN year-NN,the-DT end-NN of-IN year-NN
bbc_20130322_1150,0,t1,75,1,1953,1953,1953,CD,CD,71,t1,B-DATE,1953,1953,13,13,1953-CD,1953-CD
bbc_20130322_1150,1,t2,46,1,Wednesday,wednesday,wednesday,NNP,NN,37,t2,B-DATE,2013-03-20,Wednesday,31,10,wednesday-NN,wednesday-NN
bbc_20130322_1150,2,t3,117,1,1953,1953,1953,CD,CD,113,t3,B-DATE,1953,1953,66,22,1953-CD,1953-CD
bbc_20130322_1150,4,t4,64,1,1957,1957,1957,CD,CD,60,t4,B-DATE,1957,1957,101,11,1957-CD,1957-CD
bbc_20130322_1150,4,t5,69,1,58,58,58,CD,CD,67,t5,B-DATE,1958,58,103,13,58-CD,58-CD
bbc_20130322_1150,6,t6,27,1,1995,1995,1995,CD,CD,23,t6,B-DATE,1995,1995,135,6,1995-CD,1995-CD
bbc_20130322_1150,6,t7,114,1,100 day,100 day,100 days,CD NNS,CD NN,106,t7,B-DURATION,P100D,100 days,153 154,24 25,100-CD days-NN,100-CD day-NN
bbc_20130322_1150,6,t8,150,1,the 99th day,the 99th day,the 99th day,DT CD NN,DT CD NN,138,t8,B-DATE,XXXX-XX-XX,the 99th day,161 162 163,32 33 34,the-DT 99th-CD day-NN,the-DT 99th-CD day-NN
bbc_20130322_1150,13,t9,136,1,2005,2005,2005,CD,CD,132,t9,B-DATE,2005,2005,289,25,2005-CD,2005-CD
bbc_20130322_1150,15,t10,132,1,May,may,may,NNP,NN,129,t10,B-DATE,2013-05,May,351,28,may-NN,may-NN
bbc_20130322_1150,16,t11,95,1,60 year,60 year,60 years,CD NNS,CD NN,87,t11,B-DURATION,P60Y,60 years,371 372,19 20,60-CD years-NN,60-CD year-NN
bbc_20130322_1150,17,t12,80,1,20th Century,20th century,20th century,JJ NNP,JJ NN,68,t12,B-DATE,19,20th Century,395 396,14 15,20th-JJ century-NN,20th-JJ century-NN
bbc_20130322_1150,18,t13,23,1,1984,1984,1984,CD,CD,19,t13,B-DATE,1984,1984,421,4,1984-CD,1984-CD
bbc_20130322_1150,19,t14,84,1,last June,last june,last june,JJ NNP,JJ NN,75,t14,B-DATE,2012-06,last June,463 464,15 16,last-JJ june-NN,last-JJ june-NN
bbc_20130322_1353,5,t1,11,1,the past,the past,the past,DT NN,DT NN,3,t1,B-DATE,PAST_REF,the past,110 111,2 3,the-DT past-NN,the-DT past-NN
