Doc Id,Sentence Id,Event Id,Aspect,End Offset,Event Class,Event Id.1,Is Event,Lemma Stanford,Lowercase Lemma Stanford,Lowercase Token,POS Tag Stanford,Polarity,Pos,Start Offset,Tense,Token,Token Id Doc,Token Id Sent,Token POS,Lemma POS
AP_20130322,0,e1000028,NONE,14,B-OCCURRENCE,e1000028,1,season,season,season,NN,POS,NN,8,NONE,season,3,3,season-NN,season-NN
AP_20130322,0,e2,PERFECTIVE,50,B-OCCURRENCE,e2,1,kill,kill,killed,VBN,POS,VB,44,PRESENT,killed,11,11,killed-VB,kill-VB
AP_20130322,1,e3,NONE,18,B-ASPECTUAL,e3,1,start,start,started,VBD,POS,VB,11,PAST,started,24,3,started-VB,start-VB
AP_20130322,1,e4,NONE,62,B-ASPECTUAL,e4,1,spark,spark,sparking,VBG,POS,VB,54,PRESPART,sparking,32,11,sparking-VB,spark-VB
AP_20130322,1,e5,NONE,85,B-OCCURRENCE,e5,1,turn,turn,turn,VB,POS,VB,81,NONE,turn,36,15,turn-VB,turn-VB
AP_20130322,2,e6,NONE,8,B-ASPECTUAL,e6,1,end,end,ended,VBD,POS,VB,3,PAST,ended,45,2,ended-VB,end-VB
AP_20130322,2,e7,PROGRESSIVE,90,B-REPORTING,e7,1,accord,accord,according,VBG,POS,VB,81,PRESENT,according,60,17,according-VB,accord-VB
AP_20130322,3,e1000030,NONE,27,B-OCCURRENCE,e1000030,1,death,death,deaths,NNS,POS,NN,21,NONE,deaths,74,5,deaths-NN,death-NN
AP_20130322,3,e8,NONE,41,B-REPORTING,e8,1,report,report,reported,VBN,POS,VB,33,PAST,reported,76,7,reported-VB,report-VB
AP_20130322,3,e9,NONE,105,B-REPORTING,e9,1,say,say,said,VBD,POS,VB,101,PAST,said,91,22,said-VB,say-VB
AP_20130322,3,e10,NONE,139,B-REPORTING,e10,1,say,say,said,VBD,POS,VB,135,PAST,said,98,29,said-VB,say-VB
AP_20130322,4,e11,NONE,24,B-OCCURRENCE,e11,1,die,die,die,VB,POS,VB,21,PRESENT,die,104,4,die-VB,die-VB
AP_20130322,5,e1000032,NONE,40,B-OCCURRENCE,e1000032,1,pandemic,pandemic,pandemic,NN,POS,NN,32,NONE,pandemic,117,7,pandemic-NN,pandemic-NN
AP_20130322,5,e12,NONE,80,B-OCCURRENCE,e12,1,die,die,died,VBD,POS,VB,76,PAST,died,126,16,died-VB,die-VB
AP_20130322,6,e13,NONE,18,B-I_ACTION,e13,1,recommend,recommend,recommends,VBZ,POS,VB,8,PRESENT,recommends,130,3,recommends-VB,recommend-VB
AP_20130322,6,e2001,NONE,74,B-OCCURRENCE,e2001,1,vaccinate,vaccinate,vaccinated,VBN,POS,VB,64,INFINITIVE,vaccinated,140,13,vaccinated-VB,vaccinate-VB
AP_20130322,7,e16,NONE,37,B-OCCURRENCE,e16,1,die,die,died,VBD,POS,VB,33,PAST,died,165,8,died-VB,die-VB
AP_20130322,7,e17,NONE,70,B-OCCURRENCE,e17,1,vaccinate,vaccinate,vaccinated,VBN,POS,VB,60,INFINITIVE,vaccinated,171,14,vaccinated-VB,vaccinate-VB
AP_20130322,7,e19,NONE,118,B-OCCURRENCE,e19,1,vaccinate,vaccinate,vaccinated,VBN,NEG,VB,108,PASTPART,vaccinated,181,24,vaccinated-VB,vaccinate-VB
AP_20130322,7,e20,NONE,139,B-REPORTING,e20,1,say,say,said,VBD,POS,VB,135,PAST,said,185,28,said-VB,say-VB
AP_20130322,8,e21,NONE,35,B-I_STATE,e21,1,consider,consider,considered,VBN,POS,VB,25,PAST,considered,192,6,considered-VB,consider-VB
AP_20130322,8,e22,NONE,82,B-OCCURRENCE,e22,1,work,work,work,VB,NEG,VB,78,PAST,work,201,15,work-VB,work-VB
AP_20130322,9,e2002,NONE,47,B-OCCURRENCE,e2002,1,season,season,season,NN,POS,NN,41,NONE,season,216,9,season-NN,season-NN
AP_20130322,11,e1000033,PERFECTIVE,101,B-STATE,e1000033,1,grim,grim,grim,JJ,POS,JJ,97,PAST,grim,256,18,grim-JJ,grim-JJ
AP_20130322,12,e26,NONE,58,B-OCCURRENCE,e26,1,hospitalize,hospitalize,hospitalized,VBN,POS,VB,46,PAST,hospitalized,268,11,hospitalized-VB,hospitalize-VB
AP_20130322,14,e2003,NONE,15,B-OCCURRENCE,e2003,1,season,season,season,NN,POS,NN,9,NONE,season,293,3,season-NN,season-NN
AP_20130322,14,e27,NONE,23,B-ASPECTUAL,e27,1,start,start,started,VBD,POS,VB,16,PAST,started,294,4,started-VB,start-VB
AP_20130322,14,e1000035,NONE,83,B-OCCURRENCE,e1000035,1,peak,peak,peaked,VBD,POS,VB,77,PAST,peaked,306,16,peaked-VB,peak-VB
AP_20130322,15,e28,PERFECTIVE_PROGRESSIVE,43,B-OCCURRENCE,e28,1,drop,drop,dropping,VBG,POS,VB,35,PAST,dropping,320,8,dropping-VB,drop-VB
AP_20130322,16,e29,NONE,12,B-PERCEPTION,e29,1,appear,appear,appear,VBP,POS,VB,6,PRESENT,appear,328,3,appear-VB,appear-VB
AP_20130322,16,e30,PROGRESSIVE,26,B-OCCURRENCE,e30,1,get,get,getting,VBG,POS,VB,19,PRESENT,getting,331,6,getting-VB,get-VB
AP_20130322,16,e2004,NONE,57,B-OCCURRENCE,e2004,1,season,season,season,NN,POS,NN,51,NONE,season,338,13,season-NN,season-NN
AP_20130322,16,e31,NONE,73,B-REPORTING,e31,1,say,say,said,VBD,POS,VB,69,PAST,said,342,17,said-VB,say-VB
bbc_20130322_1150,0,e1,NONE,59,B-OCCURRENCE,e1,1,conquer,conquer,conquered,VBD,POS,VB,50,PAST,conquered,10,10,conquered-VB,conquer-VB
bbc_20130322_1150,0,e2,PERFECTIVE,84,B-OCCURRENCE,e2,1,die,die,died,VBN,POS,VB,80,PRESENT,died,15,15,died-VB,die-VB
bbc_20130322_1150,1,e3,NONE,23,B-OCCURRENCE,e3,1,die,die,died,VBD,POS,VB,19,PAST,died,27,6,died-VB,die-VB
