Doc Id,Sentence Id,Time Expression Id,End Offset,Is Time Expression,Lemma Stanford,Lowercase Lemma Stanford,Lowercase Token,POS Tag Stanford,Pos,Start Offset,Time Expression Id.1,Time Expression Type,Time Expression Value,Token,Token Id Doc,Token Id Sent,Token POS,Lemma POS
ABC19980108.1830.0711,0,t83,75,1,week,week,week,NN,NN,71,t83,B-DURATION,P1W,week,16,16,week-NN,week-NN
ABC19980108.1830.0711,2,t85,29,1,the last twenty four hour,the last twenty four hour,the last twenty four hours,DT JJ CD CD NNS,DT JJ CD CD NN,3,t85,B-DURATION,P1D,the last twenty four hours,37 38 39 40 41,2 3 4 5 6,the-DT last-JJ twenty-CD four-CD hours-NN,the-DT last-JJ twenty-CD four-CD hour-NN
ABC19980108.1830.0711,4,t86,37,1,five year,five year,five year,CD NN,CD NN,28,t86,B-DURATION,P5Y,five year,74 75,7 8,five-CD year-NN,five-CD year-NN
ABC19980108.1830.0711,5,t87,32,1,four year,four year,four year,CD NN,CD NN,23,t87,B-DURATION,P4Y,four year,83 84,6 7,four-CD year-NN,four-CD year-NN
ABC19980108.1830.0711,13,t196,3,1,now,now,now,RB,RB,0,t196,B-DATE,PRESENT_REF,Now,203,1,now-RB,now-RB
ABC19980108.1830.0711,18,t89,80,1,October,october,october,NNP,NN,73,t89,B-DATE,1997-10,October,264,13,october-NN,october-NN
ABC19980108.1830.0711,18,t90,111,1,now,now,now,RB,RB,108,t90,B-DATE,PRESENT_REF,now,271,20,now-RB,now-RB
ABC19980108.1830.0711,22,t98,28,1,the past three month,the past three month,the past three months,DT JJ CD NNS,DT JJ CD NN,7,t98,B-DURATION,P3M,the past three months,310 311 312 313,3 4 5 6,the-DT past-JJ three-CD months-NN,the-DT past-JJ three-CD month-NN
ABC19980108.1830.0711,28,t99,49,1,ten year,ten year,ten years,CD NNS,CD NN,40,t99,B-DURATION,P10Y,ten years,389 390,9 10,ten-CD years-NN,ten-CD year-NN
ABC19980108.1830.0711,29,t100,100,1,a couple of year,a couple of year,a couple of years,DT NN IN NNS,DT NN IN NN,83,t100,B-DURATION,P2Y,a couple of years,419 420 421 422,20 21 22 23,a-DT couple-NN of-IN years-NN,a-DT couple-NN of-IN year-NN
ABC19980114.1830.0611,0,t53,19,1,today,today,today,NN,NN,14,t53,B-DATE,1998-01-14,today,3,3,today-NN,today-NN
